"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,5,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.213,0.041,0.041,-1.186,-0.013,-0.013,-1.186,-0.013,-0.013,-1.186,-0.013,-0.013,0.975,0.823,0.982,0.981,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.089,0.038,0.038,-1.185,0.009,0.009,24151999057349.4,0.009,0.009,-1.185,0.009,0.009,0.976,0.813,0.981,0.982,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.115,0.011,0.01,-1.188,-0.014,-0.014,7410106968455.17,-0.014,-0.014,-1.188,-0.013,-0.013,0.964,0.719,0.993,0.987,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.048,0.013,0.013,-1.188,-0.001,-0.001,73863842530451.5,-0.001,-0.001,-1.188,-0.001,-0.001,0.953,0.869,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,1.5,0,0,1,FALSE,-0.049,0.008,0.008,-1.187,-0.005,-0.005,21307317249531.7,-0.005,-0.005,-1.187,-0.005,-0.005,0.94,0.915,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.004,0.004,0.004,0.004,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.001,-0.002,-0.002,-0.002,-0.002,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,1.5,0,0,1,FALSE,0,0.001,0.001,0,0,0,0.002,0,0,0,0,0,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
