"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,5,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.475,-0.487,-0.493,-0.493,-0.493,-0.492,-0.493,-0.493,0.997,0.921,0.999,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.288,-0.311,-0.301,-0.316,-0.301,-0.316,-0.301,-0.316,1,0.993,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.303,-0.314,-0.314,-0.318,-0.314,-0.318,-0.314,-0.318,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.173,-0.186,-0.18,-0.189,-0.181,-0.189,-0.181,-0.189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,1,0,0,1,FALSE,-0.181,-0.184,-0.187,-0.186,-0.187,-0.186,-0.187,-0.186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.111,-0.143,-0.186,-0.169,-0.186,-0.169,-0.186,-0.169,0.969,0.999,0.981,0.98,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.151,-0.168,-0.22,-0.191,-0.219,-0.191,-0.219,-0.191,0.95,1,0.98,0.975,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.071,-0.085,-0.109,-0.1,-0.108,-0.099,-0.108,-0.099,0.941,1,0.987,0.988,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.087,-0.089,-0.123,-0.103,-0.123,-0.102,-0.123,-0.102,0.905,1,0.996,0.997,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.045,-0.048,-0.066,-0.056,-0.065,-0.055,-0.065,-0.055,0.975,0.962,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1,0,0,1,FALSE,-0.044,-0.044,-0.064,-0.051,-0.063,-0.051,-0.063,-0.051,0.993,0.986,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.491,-0.492,-0.491,-0.492,-0.492,-0.492,-0.491,-0.492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.49,-0.487,-0.49,-0.487,-0.49,-0.487,-0.49,-0.487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.325,-0.322,-0.325,-0.322,-0.325,-0.323,-0.325,-0.322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.325,-0.326,-0.325,-0.326,-0.325,-0.326,-0.325,-0.326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.187,-0.186,-0.187,-0.186,-0.187,-0.186,-0.187,-0.186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,1,0,0,1,FALSE,-0.191,-0.192,-0.191,-0.192,-0.192,-0.192,-0.191,-0.192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.107,-0.146,-0.135,-0.161,-0.134,-0.16,-0.134,-0.161,0.993,0.922,0.989,0.99,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.117,-0.135,-0.138,-0.143,-0.138,-0.143,-0.138,-0.143,0.996,0.952,0.997,0.998,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.05,-0.056,-0.065,-0.063,-0.065,-0.063,-0.065,-0.063,0.997,0.819,0.999,0.998,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.061,-0.068,-0.072,-0.073,-0.072,-0.072,-0.072,-0.072,1,0.804,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.031,-0.05,-0.039,-0.053,-0.039,-0.053,-0.039,-0.053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,1,0,0,1,FALSE,-0.033,-0.037,-0.038,-0.039,-0.038,-0.039,-0.038,-0.039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.112,0.029,0,-0.014,0.001,-0.013,0.001,-0.013,0.983,0.859,0.989,0.99,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.033,-0.009,-0.055,-0.041,-0.054,-0.041,-0.054,-0.041,0.975,0.823,0.982,0.981,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.055,0.016,0.006,-0.003,0.006,-0.003,0.006,-0.003,0.976,0.813,0.981,0.982,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.013,0.002,-0.028,-0.014,-0.027,-0.014,-0.027,-0.014,0.964,0.719,0.993,0.987,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.017,0.004,-0.007,-0.006,-0.007,-0.006,-0.007,-0.006,0.953,0.869,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,1,0,0,1,FALSE,0.009,0.001,-0.012,-0.007,-0.012,-0.007,-0.012,-0.007,0.94,0.915,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.142,-0.146,-0.142,-0.146,-0.142,-0.146,-0.142,-0.146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.146,-0.141,-0.146,-0.141,-0.146,-0.141,-0.146,-0.141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.073,-0.076,-0.073,-0.076,-0.073,-0.076,-0.073,-0.076,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.079,-0.077,-0.079,-0.077,-0.079,-0.077,-0.079,-0.077,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.04,-0.041,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,1,0,0,1,FALSE,-0.039,-0.041,-0.039,-0.041,-0.039,-0.041,-0.039,-0.041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,3,0,0,1,FALSE,-1.42,-1.469,-1.498,-1.516,-1.497,-1.516,-1.497,-1.516,0.975,0.997,0.984,0.984,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,3,0,0,1,FALSE,-1.451,-1.457,-1.512,-1.5,-1.511,-1.501,-1.511,-1.501,0.963,0.998,0.961,0.962,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,3,0,0,1,FALSE,-0.958,-0.969,-1.015,-1.009,-1.015,-1.008,-1.015,-1.01,0.931,0.989,0.974,0.975,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,3,0,0,1,FALSE,-0.961,-0.971,-1.012,-1.008,-1.012,-1.008,-1.012,-1.008,0.905,1,0.981,0.981,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,3,0,0,1,FALSE,-0.573,-0.578,-0.611,-0.607,-0.611,-0.606,-0.611,-0.606,0.966,0.671,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,3,0,0,1,FALSE,-0.576,-0.576,-0.614,-0.604,-0.614,-0.605,-0.614,-0.605,0.974,0.726,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,3,0,0,1,FALSE,-0.41,-0.436,-1.15,-0.902,-1.147,-0.899,-1.139,-0.894,1,0.996,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,3,0,0,1,FALSE,-0.451,-0.468,-1.21,-0.946,-1.204,-0.942,-1.198,-0.936,1,1,0.997,0.997,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,3,0,0,1,FALSE,-0.226,-0.236,-0.714,-0.555,-0.706,-0.548,-0.702,-0.544,1,0.964,0.988,0.987,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,3,0,0,1,FALSE,-0.257,-0.262,-0.743,-0.577,-0.733,-0.569,-0.73,-0.567,1,0.994,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,3,0,0,1,FALSE,-0.134,-0.136,-0.413,-0.319,-0.404,-0.312,-0.403,-0.311,1,0.738,0.912,0.906,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,3,0,0,1,FALSE,-0.125,-0.131,-0.41,-0.32,-0.402,-0.314,-0.401,-0.313,1,0.842,0.826,0.819,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,3,0,0,1,FALSE,-1.461,-1.469,-1.461,-1.469,-1.461,-1.468,-1.461,-1.469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,3,0,0,1,FALSE,-1.462,-1.459,-1.462,-1.459,-1.462,-1.459,-1.462,-1.459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,3,0,0,1,FALSE,-0.965,-0.968,-0.965,-0.968,-0.966,-0.969,-0.965,-0.968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,3,0,0,1,FALSE,-0.967,-0.967,-0.967,-0.967,-0.968,-0.968,-0.967,-0.967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,3,0,0,1,FALSE,-0.579,-0.58,-0.579,-0.58,-0.579,-0.58,-0.579,-0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,3,0,0,1,FALSE,-0.58,-0.579,-0.58,-0.579,-0.58,-0.578,-0.58,-0.579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,3,0,0,1,FALSE,-0.346,-0.414,-0.429,-0.476,-0.427,-0.476,-0.429,-0.478,0.971,1,0.976,0.977,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,3,0,0,1,FALSE,-0.436,-0.471,-0.509,-0.527,-0.509,-0.529,-0.509,-0.529,0.985,1,0.988,0.987,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,3,0,0,1,FALSE,-0.239,-0.271,-0.284,-0.305,-0.285,-0.306,-0.285,-0.305,0.947,0.994,0.993,0.993,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,3,0,0,1,FALSE,-0.253,-0.275,-0.297,-0.309,-0.297,-0.31,-0.297,-0.31,0.951,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,3,0,0,1,FALSE,-0.129,-0.158,-0.157,-0.18,-0.157,-0.18,-0.157,-0.181,0.884,0.764,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,3,0,0,1,FALSE,-0.123,-0.129,-0.149,-0.15,-0.149,-0.15,-0.149,-0.15,0.853,0.658,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,3,0,0,1,FALSE,0.65,0.426,-0.72,-0.495,-0.714,-0.488,-0.708,-0.487,0.963,0.926,0.987,0.987,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,3,0,0,1,FALSE,0.093,0.056,-0.854,-0.576,-0.846,-0.569,-0.842,-0.568,0.967,0.951,0.99,0.992,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,3,0,0,1,FALSE,0.104,0.058,-0.422,-0.294,-0.411,-0.284,-0.407,-0.282,0.984,0.924,0.989,0.99,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,3,0,0,1,FALSE,0.009,-0.002,-0.505,-0.346,-0.495,-0.338,-0.492,-0.337,0.993,0.91,0.995,0.997,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,3,0,0,1,FALSE,0.023,0.015,-0.242,-0.162,-0.233,-0.156,-0.232,-0.155,0.998,0.928,0.952,0.955,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,3,0,0,1,FALSE,0.026,0.013,-0.249,-0.173,-0.241,-0.167,-0.24,-0.166,1,0.905,0.94,0.94,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,3,0,0,1,FALSE,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,3,0,0,1,FALSE,-0.434,-0.434,-0.434,-0.434,-0.434,-0.433,-0.434,-0.434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,3,0,0,1,FALSE,-0.237,-0.24,-0.237,-0.24,-0.237,-0.239,-0.237,-0.24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,3,0,0,1,FALSE,-0.233,-0.235,-0.233,-0.235,-0.233,-0.235,-0.233,-0.235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,3,0,0,1,FALSE,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,3,0,0,1,FALSE,-0.122,-0.123,-0.122,-0.123,-0.122,-0.123,-0.122,-0.123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
