"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"binary","binary",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","binary",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","binary",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","binary",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","binary",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","binary",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","binary",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"continuous","binary",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"binary","continuous",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","continuous",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","continuous",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","continuous",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","continuous",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","continuous",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","continuous",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"continuous","continuous",1,0,0,0,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"binary","binary",1,1,0,0,1,0,1,TRUE,0.148,0.144,-0.1,0.122,-0.104,0.118,-0.097,0.113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,0,1,0,1,TRUE,-0.056,-0.063,-0.26,-0.044,-0.266,-0.05,-0.263,-0.042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,0,1,0,1,TRUE,0.071,0.055,-0.179,0.049,-0.18,0.048,-0.182,0.044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,0,1,0,1,TRUE,-0.035,-0.037,-0.264,-0.025,-0.267,-0.029,-0.268,-0.031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,0,1,0,1,TRUE,-0.017,-0.003,-0.226,-0.005,-0.226,-0.007,-0.219,-0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,0,1,0,1,TRUE,-0.018,0.004,-0.231,0.002,-0.229,0.003,-0.228,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,0,1,0,1,TRUE,-0.008,-0.019,-0.234,-0.026,-0.227,-0.018,-0.224,-0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,0,1,0,1,TRUE,-0.012,-0.015,-0.24,-0.024,-0.227,-0.012,-0.225,-0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,0,1,0,1,TRUE,0.008,-0.009,0.008,-0.009,0.016,0.006,0.009,-0.014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,0,1,0,1,TRUE,-0.013,-0.021,-0.013,-0.021,-0.016,-0.029,-0.013,-0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,0,1,0,1,TRUE,0.13,0.136,0.13,0.136,0.102,0.105,0.13,0.14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,0,1,0,1,TRUE,0.039,0.046,0.039,0.046,0.041,0.043,0.039,0.049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,0,1,0,1,TRUE,0.003,0.001,0.003,0.001,0.005,0,0.003,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,0,1,0,1,TRUE,-0.013,-0.013,-0.013,-0.013,-0.015,-0.012,-0.013,-0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,0,1,0,1,TRUE,0.017,0.019,0.017,0.019,0.022,0.025,0.017,0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,0,1,0,1,TRUE,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,0,1,0,1,TRUE,-0.013,0.004,-0.242,-0.004,-0.249,-0.011,-0.241,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,0,1,0,1,TRUE,-0.04,0.014,-0.26,0.014,-0.261,0.009,-0.26,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,0,1,0,1,TRUE,0.014,-0.007,-0.222,0.004,-0.223,0.001,-0.224,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,0,1,0,1,TRUE,-0.037,-0.047,-0.271,-0.041,-0.272,-0.042,-0.272,-0.037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,0,1,0,1,TRUE,0.024,-0.021,-0.176,-0.024,-0.174,-0.023,-0.176,-0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
