"N_total","T_total","predictor.type","outcome.type","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.independence2_g.10_bias","g.ar12_g.10_bias","g.independence3_g.10_bias","g.ar13_g.10_bias","g.independence4_g.10_bias","g.ar14_g.10_bias"
200,5,"binary","binary",0,1.5,1,0,1,TRUE,0.065,-0.007,-0.007,-0.281,-0.301,-0.219,-0.223,-0.219,-0.223
100,20,"binary","binary",0,1.5,1,0,1,TRUE,0.02,-0.008,-0.008,-0.281,-0.298,-0.218,-0.221,-0.218,-0.221
200,20,"binary","binary",0,1.5,1,0,1,TRUE,0.038,0.01,0.01,-0.269,-0.286,-0.207,-0.208,-0.207,-0.208
100,5,"continuous","binary",0,1.5,1,0,1,TRUE,-0.191,0.031,0.031,-1.193,-1.199,-0.182,-0.182,-0.182,-0.182
200,5,"continuous","binary",0,1.5,1,0,1,TRUE,-0.195,0.049,0.049,-1.189,-1.189,-0.159,-0.159,-0.159,-0.159
100,20,"continuous","binary",0,1.5,1,0,1,TRUE,-0.027,0.022,0.022,-1.189,92389943046462.1,-0.16,-0.161,-0.16,-0.161
200,20,"continuous","binary",0,1.5,1,0,1,TRUE,-0.029,0.025,0.025,-1.191,14937733544079.3,-0.17,-0.172,-0.17,-0.172
100,5,"binary","continuous",0,1.5,1,0,1,TRUE,0.036,0.038,0.038,0.054,0.038,0.054,0.04,0.054,0.04
200,5,"binary","continuous",0,1.5,1,0,1,TRUE,-0.02,-0.019,-0.019,-0.024,-0.024,-0.019,-0.024,-0.019,-0.024
100,20,"binary","continuous",0,1.5,1,0,1,TRUE,-0.001,0,0,0,-0.001,0.004,-0.001,0.004,-0.001
200,20,"binary","continuous",0,1.5,1,0,1,TRUE,0.002,0.003,0.003,0.017,-0.001,0.014,-0.001,0.014,-0.001
100,5,"continuous","continuous",0,1.5,1,0,1,TRUE,0,-0.001,-0.001,-0.015,0.002,-0.006,0.001,-0.006,0.001
200,5,"continuous","continuous",0,1.5,1,0,1,TRUE,0.001,-0.001,-0.001,0.028,0.005,-0.006,0.003,-0.006,0.003
100,20,"continuous","continuous",0,1.5,1,0,1,TRUE,0.001,0.001,0.001,-0.006,-0.001,0,-0.001,0,-0.001
200,20,"continuous","continuous",0,1.5,1,0,1,TRUE,-0.002,-0.002,-0.002,0.01,-0.002,0.001,-0.002,0.001,-0.002
