"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias"
100,5,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,0.003,0.003,-0.003,0.003,-0.006,0.003,0.003,-0.003,0.003,-0.006,0.002,0.003,-0.003,0.003,-0.006,0.003,0.003,-0.003,0.003,-0.006
200,5,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,0.002,0.002,0.001,0.002,-0.001,0.002,0.002,0.001,0.002,-0.001,0,0.002,0.001,0.002,-0.001,0.002,0.002,0.001,0.002,-0.001
100,20,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,0.001,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001,0,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001
200,20,"continuous","continuous",1,3,0,0,1.5,0,0,1,FALSE,0,0,-0.001,0,-0.001,0,0,-0.001,0,-0.001,0.001,0,-0.001,0,-0.001,0,0,-0.001,0,-0.001
100,5,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0,-0.007,-0.394,-0.007,-0.387,-0.09,-0.025,-0.419,-0.025,-0.394,-0.085,-0.025,-0.42,-0.025,-0.395,-0.089,-0.025,-0.42,-0.025,-0.395
200,5,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.014,-0.002,-0.467,-0.002,-0.466,-0.076,-0.015,-0.487,-0.015,-0.471,-0.078,-0.017,-0.487,-0.017,-0.47,-0.075,-0.016,-0.486,-0.016,-0.471
100,20,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.022,0.011,-0.165,0.011,-0.176,-0.054,0.006,-0.173,0.006,-0.18,-0.047,0.007,-0.173,0.007,-0.179,-0.046,0.007,-0.173,0.007,-0.179
200,20,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.013,0,-0.181,0,-0.181,-0.064,-0.005,-0.189,-0.005,-0.184,-0.058,-0.005,-0.189,-0.005,-0.184,-0.057,-0.005,-0.189,-0.005,-0.184
100,5,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.01,0.04,-0.086,0.04,-0.125,-0.715,-0.016,-0.173,-0.016,-0.157,-0.716,-0.014,-0.172,-0.014,-0.158,-0.716,-0.015,-0.173,-0.015,-0.159
200,5,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,-0.01,0.015,-0.167,0.015,-0.182,-0.71,-0.027,-0.235,-0.027,-0.208,-0.706,-0.027,-0.234,-0.027,-0.207,-0.711,-0.028,-0.235,-0.028,-0.207
100,20,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.001,0.006,-0.028,0.006,-0.033,-0.695,-0.008,-0.05,-0.008,-0.042,-0.696,-0.008,-0.049,-0.008,-0.041,-0.695,-0.008,-0.049,-0.008,-0.041
200,20,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,-0.006,-0.003,-0.044,-0.003,-0.041,-0.7,-0.014,-0.062,-0.014,-0.049,-0.699,-0.013,-0.062,-0.013,-0.048,-0.7,-0.013,-0.062,-0.013,-0.048
100,5,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.016,0.016,-0.496,0.016,-0.512,0.016,0.016,-0.496,0.016,-0.512,0.015,0.015,-0.496,0.015,-0.512,0.016,0.016,-0.496,0.016,-0.512
200,5,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.015,-0.015,-0.495,-0.015,-0.48,-0.015,-0.015,-0.495,-0.015,-0.48,-0.019,-0.015,-0.495,-0.015,-0.479,-0.015,-0.015,-0.495,-0.015,-0.48
100,20,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.001,0.001,-0.215,0.001,-0.216,0.001,0.001,-0.215,0.001,-0.216,0.005,0.001,-0.215,0.001,-0.216,0.001,0.001,-0.215,0.001,-0.216
200,20,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0,0,-0.2,0,-0.2,0,0,-0.2,0,-0.2,0,0,-0.2,0,-0.2,0,0,-0.2,0,-0.2
100,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.003,0.003,-0.165,0.003,-0.168,0.003,0.003,-0.165,0.003,-0.168,0.001,0.002,-0.165,0.002,-0.168,0.003,0.003,-0.165,0.003,-0.168
200,5,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.003,-0.003,-0.173,-0.003,-0.17,-0.003,-0.003,-0.173,-0.003,-0.17,-0.005,-0.003,-0.173,-0.003,-0.169,-0.003,-0.003,-0.173,-0.003,-0.17
100,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.003,0.003,-0.043,0.003,-0.047,0.003,0.003,-0.043,0.003,-0.047,0.002,0.004,-0.043,0.004,-0.047,0.003,0.003,-0.043,0.003,-0.047
200,20,"continuous","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.001,-0.001,-0.051,-0.001,-0.05,-0.001,-0.001,-0.051,-0.001,-0.05,0,-0.001,-0.051,-0.001,-0.05,-0.001,-0.001,-0.051,-0.001,-0.05
100,5,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.107,0.042,-0.124,0.042,-0.166,-0.101,0.026,-0.148,0.026,-0.174,-0.107,0.023,-0.148,0.023,-0.171,-0.107,0.026,-0.149,0.026,-0.175
200,5,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.065,0.006,-0.113,0.006,-0.119,-0.14,-0.006,-0.137,-0.006,-0.131,-0.141,-0.005,-0.137,-0.005,-0.132,-0.143,-0.006,-0.137,-0.006,-0.131
100,20,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.054,0.009,-0.069,0.009,-0.078,-0.128,0.004,-0.077,0.004,-0.081,-0.126,0.005,-0.076,0.005,-0.081,-0.12,0.004,-0.076,0.004,-0.081
200,20,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.042,-0.006,-0.047,-0.006,-0.041,-0.143,-0.009,-0.054,-0.009,-0.045,-0.134,-0.009,-0.054,-0.009,-0.045,-0.133,-0.009,-0.054,-0.009,-0.045
100,5,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.116,0.153,0.158,0.153,0.005,-1.172,0.073,0.031,0.073,-0.042,-1.174,0.069,0.029,0.069,-0.04,-1.172,0.068,0.024,0.068,-0.043
200,5,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.22,0.04,0.038,0.04,-0.003,-1.187,-0.011,-0.045,-0.011,-0.034,-1.187,-0.011,-0.044,-0.011,-0.034,-1.187,-0.011,-0.044,-0.011,-0.033
