"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias"
100,5,"binary","binary",1,0,0,1.5,1,0,1,FALSE,0.027,0.007,0.007,-0.214,-0.214,-0.214,-0.212,-0.212,-0.212,-0.209,-0.213,-0.213
200,5,"binary","binary",1,0,0,1.5,1,0,1,FALSE,0.034,0.013,0.012,-0.224,-0.222,-0.222,-0.22,-0.219,-0.219,-0.217,-0.222,-0.222
100,20,"binary","binary",1,0,0,1.5,1,0,1,FALSE,0.009,0.007,0.007,-0.234,-0.232,-0.232,-0.234,-0.233,-0.233,-0.231,-0.232,-0.232
200,20,"binary","binary",1,0,0,1.5,1,0,1,FALSE,0.001,-0.001,-0.001,-0.244,-0.243,-0.243,-0.244,-0.244,-0.244,-0.241,-0.243,-0.243
100,5,"continuous","binary",1,0,0,1.5,1,0,1,FALSE,0.019,0.015,0.015,-0.299,-0.218,-0.218,-0.299,-0.217,-0.217,-0.3,-0.218,-0.218
200,5,"continuous","binary",1,0,0,1.5,1,0,1,FALSE,-0.027,-0.028,-0.028,-0.307,-0.228,-0.228,-0.309,-0.23,-0.23,-0.307,-0.229,-0.229
100,20,"continuous","binary",1,0,0,1.5,1,0,1,FALSE,0.008,0.008,0.008,-0.238,-0.216,-0.216,-0.239,-0.217,-0.217,-0.238,-0.216,-0.216
200,20,"continuous","binary",1,0,0,1.5,1,0,1,FALSE,-0.009,-0.01,-0.01,-0.258,-0.236,-0.236,-0.257,-0.235,-0.235,-0.257,-0.235,-0.235
100,5,"binary","continuous",1,0,0,1.5,1,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.007,0.007,0.007,-0.002,-0.002,-0.002
200,5,"binary","continuous",1,0,0,1.5,1,0,1,FALSE,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.006,-0.006,-0.006,-0.004,-0.004,-0.004
